
--- New Detection Session ---
[2026-01-18 19:31:46] Object: cow | Confidence: 89.33%
[2026-01-18 19:31:46] Object: dog | Confidence: 83.06%
[2026-01-18 19:31:46] Object: car | Confidence: 79.19%
[2026-01-18 19:31:46] Object: cow | Confidence: 74.03%
[2026-01-18 19:31:46] Object: dog | Confidence: 72.16%
[2026-01-18 19:31:46] Object: person | Confidence: 67.58%
[2026-01-18 19:31:46] Object: car | Confidence: 64.14%
[2026-01-18 19:31:46] Object: car | Confidence: 51.62%
Total Objects Detected: 8
Animals Detected: 4
[2026-01-18 19:37:59] Webcam | Object: person | Confidence: 57.21%
[2026-01-18 19:37:59] Webcam | Object: person | Confidence: 80.14%
[2026-01-18 19:37:59] Webcam | Object: person | Confidence: 69.76%
[2026-01-18 19:37:59] Webcam | Object: person | Confidence: 81.63%
[2026-01-18 19:37:59] Webcam | Object: person | Confidence: 83.78%
[2026-01-18 19:37:59] Webcam | Object: person | Confidence: 88.83%
[2026-01-18 19:37:59] Webcam | Object: person | Confidence: 81.95%
[2026-01-18 19:37:59] Webcam | Object: person | Confidence: 85.90%
[2026-01-18 19:38:00] Webcam | Object: person | Confidence: 86.65%
[2026-01-18 19:38:00] Webcam | Object: person | Confidence: 78.67%
[2026-01-18 19:38:00] Webcam | Object: person | Confidence: 88.83%
[2026-01-18 19:38:00] Webcam | Object: person | Confidence: 90.93%
[2026-01-18 19:38:00] Webcam | Object: person | Confidence: 90.61%
[2026-01-18 19:38:00] Webcam | Object: person | Confidence: 86.71%
[2026-01-18 19:38:00] Webcam | Object: person | Confidence: 80.31%
[2026-01-18 19:38:01] Webcam | Object: person | Confidence: 67.93%
[2026-01-18 19:38:01] Webcam | Object: person | Confidence: 72.42%
[2026-01-18 19:38:01] Webcam | Object: person | Confidence: 84.43%
[2026-01-18 19:38:01] Webcam | Object: person | Confidence: 87.27%
[2026-01-18 19:38:01] Webcam | Object: person | Confidence: 91.56%
[2026-01-18 19:38:01] Webcam | Object: person | Confidence: 90.79%
[2026-01-18 19:38:01] Webcam | Object: person | Confidence: 85.60%
[2026-01-18 19:38:01] Webcam | Object: person | Confidence: 90.94%
[2026-01-18 19:38:02] Webcam | Object: person | Confidence: 84.81%
[2026-01-18 19:38:02] Webcam | Object: person | Confidence: 84.81%
[2026-01-18 19:38:02] Webcam | Object: person | Confidence: 92.03%
[2026-01-18 19:38:02] Webcam | Object: person | Confidence: 91.47%
[2026-01-18 19:38:02] Webcam | Object: person | Confidence: 91.48%
[2026-01-18 19:38:02] Webcam | Object: person | Confidence: 90.34%
[2026-01-18 19:38:02] Webcam | Object: person | Confidence: 90.77%
[2026-01-18 19:38:02] Webcam | Object: person | Confidence: 91.28%
[2026-01-18 19:38:03] Webcam | Object: person | Confidence: 90.50%
[2026-01-18 19:38:03] Webcam | Object: person | Confidence: 89.66%
[2026-01-18 19:38:03] Webcam | Object: person | Confidence: 89.66%
[2026-01-18 19:38:03] Webcam | Object: person | Confidence: 91.15%
[2026-01-18 19:38:03] Webcam | Object: person | Confidence: 90.47%
[2026-01-18 19:38:03] Webcam | Object: person | Confidence: 91.49%
[2026-01-18 19:38:03] Webcam | Object: person | Confidence: 92.55%
[2026-01-18 19:38:03] Webcam | Object: person | Confidence: 89.68%
[2026-01-18 19:38:04] Webcam | Object: person | Confidence: 91.34%
[2026-01-18 19:38:04] Webcam | Object: person | Confidence: 89.16%
[2026-01-18 19:38:04] Webcam | Object: person | Confidence: 88.81%
[2026-01-18 19:38:04] Webcam | Object: person | Confidence: 89.32%
[2026-01-18 19:38:04] Webcam | Object: person | Confidence: 89.32%
[2026-01-18 19:38:04] Webcam | Object: person | Confidence: 89.45%
[2026-01-18 19:38:04] Webcam | Object: person | Confidence: 90.09%
[2026-01-18 19:38:04] Webcam | Object: person | Confidence: 90.09%
[2026-01-18 19:38:05] Webcam | Object: person | Confidence: 88.87%
[2026-01-18 19:38:05] Webcam | Object: person | Confidence: 90.71%
[2026-01-18 19:38:05] Webcam | Object: person | Confidence: 89.15%
[2026-01-18 19:38:05] Webcam | Object: person | Confidence: 88.63%
[2026-01-18 19:38:05] Webcam | Object: person | Confidence: 90.32%
[2026-01-18 19:38:05] Webcam | Object: person | Confidence: 89.78%
[2026-01-18 19:38:05] Webcam | Object: person | Confidence: 90.28%
[2026-01-18 19:38:05] Webcam | Object: person | Confidence: 90.63%
[2026-01-18 19:38:06] Webcam | Object: person | Confidence: 90.19%
[2026-01-18 19:38:06] Webcam | Object: person | Confidence: 89.91%
[2026-01-18 19:38:06] Webcam | Object: person | Confidence: 91.23%
[2026-01-18 19:38:06] Webcam | Object: person | Confidence: 91.23%
[2026-01-18 19:38:06] Webcam | Object: person | Confidence: 91.53%
[2026-01-18 19:38:06] Webcam | Object: person | Confidence: 91.05%
[2026-01-18 19:38:06] Webcam | Object: person | Confidence: 91.89%
[2026-01-18 19:38:06] Webcam | Object: person | Confidence: 90.04%
[2026-01-18 19:38:06] Webcam | Object: person | Confidence: 89.93%
[2026-01-18 19:38:07] Webcam | Object: person | Confidence: 91.47%
[2026-01-18 19:38:07] Webcam | Object: person | Confidence: 89.81%
[2026-01-18 19:38:07] Webcam | Object: person | Confidence: 91.75%
[2026-01-18 19:38:07] Webcam | Object: person | Confidence: 91.02%
[2026-01-18 19:38:07] Webcam | Object: person | Confidence: 91.30%
[2026-01-18 19:38:07] Webcam | Object: person | Confidence: 92.02%
[2026-01-18 19:38:07] Webcam | Object: person | Confidence: 91.76%
[2026-01-18 19:38:07] Webcam | Object: person | Confidence: 92.05%
[2026-01-18 19:38:08] Webcam | Object: person | Confidence: 91.41%
[2026-01-18 19:38:08] Webcam | Object: person | Confidence: 90.10%
[2026-01-18 19:38:08] Webcam | Object: person | Confidence: 91.51%
[2026-01-18 19:38:08] Webcam | Object: person | Confidence: 91.51%
[2026-01-18 19:38:08] Webcam | Object: person | Confidence: 90.93%
[2026-01-18 19:38:08] Webcam | Object: person | Confidence: 56.54%
[2026-01-18 19:38:08] Webcam | Object: person | Confidence: 81.58%
[2026-01-18 19:38:08] Webcam | Object: person | Confidence: 85.44%
[2026-01-18 19:38:09] Webcam | Object: person | Confidence: 75.69%
[2026-01-18 19:38:09] Webcam | Object: person | Confidence: 88.57%
[2026-01-18 19:38:09] Webcam | Object: person | Confidence: 86.86%
[2026-01-18 19:38:09] Webcam | Object: person | Confidence: 88.89%
[2026-01-18 19:38:09] Webcam | Object: person | Confidence: 86.88%
[2026-01-18 19:38:09] Webcam | Object: person | Confidence: 86.75%
[2026-01-18 19:38:09] Webcam | Object: person | Confidence: 84.36%
[2026-01-18 19:38:09] Webcam | Object: person | Confidence: 78.07%
[2026-01-18 19:38:10] Webcam | Object: person | Confidence: 78.07%
[2026-01-18 19:38:10] Webcam | Object: person | Confidence: 87.32%
[2026-01-18 19:38:10] Webcam | Object: person | Confidence: 86.79%
[2026-01-18 19:38:10] Webcam | Object: person | Confidence: 85.55%
[2026-01-18 19:38:10] Webcam | Object: person | Confidence: 74.37%
[2026-01-18 19:38:10] Webcam | Object: person | Confidence: 71.40%
[2026-01-18 19:38:10] Webcam | Object: person | Confidence: 83.61%
[2026-01-18 19:38:10] Webcam | Object: person | Confidence: 87.16%
[2026-01-18 19:38:11] Webcam | Object: person | Confidence: 89.72%
[2026-01-18 19:38:11] Webcam | Object: person | Confidence: 90.61%
[2026-01-18 19:38:11] Webcam | Object: person | Confidence: 90.45%
[2026-01-18 19:38:11] Webcam | Object: person | Confidence: 89.83%
[2026-01-18 19:38:11] Webcam | Object: person | Confidence: 90.20%
[2026-01-18 19:38:11] Webcam | Object: person | Confidence: 90.20%
[2026-01-18 19:38:11] Webcam | Object: person | Confidence: 90.01%
[2026-01-18 19:38:11] Webcam | Object: person | Confidence: 90.51%
[2026-01-18 19:38:12] Webcam | Object: person | Confidence: 90.24%
[2026-01-18 19:38:12] Webcam | Object: person | Confidence: 91.53%
[2026-01-18 19:38:12] Webcam | Object: person | Confidence: 91.03%
[2026-01-18 19:38:12] Webcam | Object: person | Confidence: 89.76%
[2026-01-18 19:38:12] Webcam | Object: person | Confidence: 89.66%
[2026-01-18 19:38:12] Webcam | Object: person | Confidence: 90.27%
[2026-01-18 19:38:12] Webcam | Object: person | Confidence: 90.36%
[2026-01-18 19:38:13] Webcam | Object: person | Confidence: 90.53%
[2026-01-18 19:38:13] Webcam | Object: person | Confidence: 90.65%
[2026-01-18 19:38:13] Webcam | Object: person | Confidence: 91.86%
[2026-01-18 19:38:13] Webcam | Object: person | Confidence: 91.34%
[2026-01-18 19:38:13] Webcam | Object: person | Confidence: 90.70%
[2026-01-18 19:38:13] Webcam | Object: person | Confidence: 91.53%
[2026-01-18 19:38:13] Webcam | Object: person | Confidence: 91.42%
[2026-01-18 19:38:13] Webcam | Object: person | Confidence: 91.72%
[2026-01-18 19:38:14] Webcam | Object: person | Confidence: 92.58%
[2026-01-18 19:38:14] Webcam | Object: person | Confidence: 92.39%
[2026-01-18 19:38:14] Webcam | Object: person | Confidence: 90.38%
[2026-01-18 19:38:14] Webcam | Object: person | Confidence: 90.38%
[2026-01-18 19:38:14] Webcam | Object: person | Confidence: 90.71%
[2026-01-18 19:38:14] Webcam | Object: person | Confidence: 89.83%
[2026-01-18 19:38:14] Webcam | Object: person | Confidence: 89.83%
[2026-01-18 19:38:14] Webcam | Object: person | Confidence: 90.12%
[2026-01-18 19:38:15] Webcam | Object: person | Confidence: 90.49%
[2026-01-18 19:38:15] Webcam | Object: person | Confidence: 88.04%
[2026-01-18 19:38:15] Webcam | Object: person | Confidence: 90.64%
[2026-01-18 19:38:15] Webcam | Object: person | Confidence: 90.68%
[2026-01-18 19:38:15] Webcam | Object: person | Confidence: 90.28%
